issue_type,cik,year,missing_metrics
missing_metric,0001065280,2024,present; not_applicable; missing
missing_metric,0001326801,2024,present; not_applicable; missing
missing_metric,0001045810,2024,present; not_applicable; missing
missing_metric,0001045810,2025,present; not_applicable; missing
missing_metric,0000104169,2024,present; not_applicable; missing
missing_metric,0000104169,2025,present; not_applicable; missing
missing_metric,0000814585,2024,present; not_applicable; missing
missing_metric,0001318605,2024,present; not_applicable; missing
missing_metric,0001018724,2024,present; not_applicable; missing
missing_metric,0001141391,2024,present; not_applicable; missing
missing_metric,0000890926,2024,present; not_applicable; missing
missing_metric,0000059478,2024,present; not_applicable; missing
missing_metric,0000789019,2024,present; not_applicable; missing
missing_metric,0000789019,2025,present; not_applicable; missing
missing_metric,0001403161,2024,present; not_applicable; missing
missing_metric,0001403161,2025,present; not_applicable; missing
missing_metric,0000320193,2024,present; not_applicable; missing
missing_metric,0000320193,2025,present; not_applicable; missing
missing_metric,0001341439,2024,present; not_applicable; missing
missing_metric,0001341439,2025,present; not_applicable; missing
missing_metric,0001652044,2024,present; not_applicable; missing
missing_metric,0001276520,2024,present; not_applicable; missing
missing_metric,0000909832,2024,present; not_applicable; missing
missing_metric,0000909832,2025,present; not_applicable; missing
missing_metric,0001273813,2024,present; not_applicable; missing
missing_metric,0000200406,2024,present; not_applicable; missing
missing_metric,0000034088,2024,present; not_applicable; missing
missing_metric,0000813762,2024,present; not_applicable; missing
